###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a  16 16 18 19 12 14 14 17 14 12   12 11 13 15 14 22 15 12  9 10   11 16 11 16 16 16 16 16 16 16   16 14 11 15 16 16 16 16 16 16   
  1b  16 16 16 14 13 20 15 16 16 16   16 16 16 16 16 12 20 20 20 14   21 17 18 10 20 18 13 17 19 17   19 12 17 17 19 22 16 16 16 16   
  2a  16 16 12 14  9 16 13 16 16  9   12 17 10 13 16 16 12 17 11 17   13 12 10 14 13 18 12 11  9 15    9 12 14 16 11  9 17 11 11 17   
  2b  13 12 11 14 15 10 11 14 13 17   16 17 20 16 20 15 21 19 16 21   22 22 17 20 22 20 14 17 19 17   20 18 19 16 24 21 16 16 16 16   
  3a  16 16 11 11 14 18 17 21 12 13   19 16  8  6  9 20 13 14 14 13   12 16  8 13 18  9  9 10  8 10   13 14 16 15 17 11 17 16 14 16   
  3b  14 18 19 14 21 17 14 16 16 21    9 22 17 14 18 20 17 24 19 14   18 15 17 18 22 19 18 17 15 15   18 15 20 21 18 20 16 16 16 16   
  4a  16 16 15 20 17 15 13 16 13 17    8 12 15  8 21 16 14 19 13 15   22 20  8 12 19 12 14 11 10 16   14  8 15 16 12 14 13 20 11 11   
  4b  14 13 11 19 13 18 14 20 15 22   17 14 17 23 21 17 20 22 19 21   15 18 19 23 12 28 22 18 17 20   21 19 19 18 16 20 16 16 16 16   
  5a  16 16 17 14 20 15 11 15  8 16   10 13  5  9 18 19 11  8 18 13   18 14 13 14 16 16 17 11 11 12   16 15 18 15 15 13 17 13 17 14   
  5b  17 21  9 22 14 14 14 14 15 13   12 17 26 17 22 21 17 23 12 22   18 23 21 20 15 17 18 19 16 18   17 28 16 23 21 20 16 16 16 16   
  6a  16 16 10 12 16 15 16 16 15 20   13  9 16 13 17 11 16 17 11 17   12 11 12 12 11 12 17  9 12 11   14 11 12 24 16 16 12 18 13 19   
  6b  15 13 13 17 13 14 13 13 17 13   18 19 18 22 14 21 14 22 13 19   15 19 21 15 17 22 18 20 16 24   18 11 23 15 15 20 16 16 16 16   
  7a  16 16  5 13 16 16 14  9 16 17   15 20 12 16 16 20 12 14 14 16    9 16  6 12 16 15  9 12 12 17   11 16 12 15 10 14 13 19 19 15   
  7b  17 16 12 15 15 17 14 13 14 12   10 15 14 17 14 16 20 19 18 17   17 15 16 21 17 16 13 20 18 20   18 19 23 23 19 13 16 16 16 16   
  8a  16 16  6 13 19 15 20 16 13 19   12 20 15  9 13 18 16 13 18 17   16 14  9  8 11 12  5  8 18 21   13 10 12 17 14 14 17 18 11 15   
  8b  19 17 16 16 15 17 19 16 16 15   16 13 14 20 16 16 17 17 23 22   20 19 19 23 14 16 19 19 20 20   14 21 21 27 19 19 16 16 16 16   
  9a  16 16  6 13 19 10 18 14 14 15   18 18  4 15 16 14 13 16 15 19   17 13 10 13 13 13 16  7 12 19   15 15 16 16 15 15 13 16 14 13   
  9b  16 18 22 16 15 16 17 10  9 14   14 15 24 19 19 15 20 20 24 19   19 26 17 16 21 18 15 19 21 20   20 18 15 16 19 18 16 16 16 16   
 10a  16 16  7 13 13 12 15 14 16 15   11 11 11 19 17 23 15 23 15 15   19 13 15 14 11 11 15 16 12 14   12  6  9 15 12  9 14 22 13 19   
 10b  14 13 11 21 18 10 12 17 18 16   15 15 16 14 19 19 19 19 15 19   15 19 19 23 16 26 17 22 15 24   24 15 23 16 12 14 16 16 16 16   
 11a  16 16 11 13 11 16 13 13 14 18   13 15 12 15 12 15 21 11 15 14   18 14 18 10 12 15 12  9 17 21    7 10 15 14  8 15 16 19 12 18   
 11b  13 16 16 16 24 11 18 13 16 12   14 10 20 16 19 20 11 23 17 21   19 20 19 18 18 18 16 27 23 21   20 14 21 16 22 22 16 16 16 16   
 12a  16 16 18 10 12 10 13  8 17 11   11 12 16 13 17 14 11 20 17 16   10  8 15 12 12 19 19 12 13 14   13 13 11 14 14  9 11 22 16 14   
 12b  13 10 14 17 17  9 13 23 16 16   16 19 17 20 13 18 12 23 25 18   23 26 20 15 18 18 19 20 19 18   24 20 17 30 17 19 16 16 16 16   
 13a  16 16 13  9 15 14 14 16 16 23   12 15 15  9 15 10 15 15 13 19   13 15  2  6 16 13  7 12 12 10   14 11 11 15 18 11 16 18 17 15   
 13b  18 15 15 15 10 21 16 13 13  9   23 13 15 17 14 16 24 15 16 18   22 19 26 21 17 16 21 17 16 17   23 18 22 16 21 17 16 16 16 16   
 14a  16 16  6 10 15 11 16 16 15 17   18 14  9  9 15 11 14 17 15 16   16 17 10 13 17 18 10 11 12 18   16  6 15 14 11 16 15 14 14 14   
 14b  18 21 16 17 15 19 10 20 12 17   16 20 16 16 15 13 16 17 17 20   18 15 15 18 17 16 21 14 21 16   19 21 22 14 20 14 16 16 16 16   
 15a  16 16  9  8 14 18 14 12 18 20   17 14  7  9 17 15 14 12 16 15   19 20 16 11 14 14 10  8 16 14   15  5 14 15 12 12 14 16 18 12   
 15b  15 17 13 16 21 12 16 20 16 17   11 15 15 19 20 14 11 13 16 14   18 17 22 21 18 22 19 18 25 18   20 23 15 18 19 16 16 16 16 16   
 16a  16 16 10 12  9  9 11 14 16 15   18 14  8 10 12 19 16 11 14 11   11 15 18 10 18 14 11 13 14  9   12  9  9 20  5 15 20 13 15 12   
 16b  15 19 18 17 13 15  9  8  8  8   19 17 17 17 20 14 16 19 14 21   17 21 16 20 23 17 16 21 21 20   25 22 21 24 22 19 16 16 16 16   
 17a  16 16  8 16 11 17 19 15 17 15   11 19 15 10 12 15 11 16 13 15   12 18 12 12 17 15 15  8 13 18   16 15 20 17 13 12 15 15 15  9   
 17b  16 13 15 22  9 17 12 13 10 17    8 18 13 23 20 16 20 25 23 17   21 16 25 23 19 18 17 25 19 19   17 13 24 18 22 13 16 16 16 16   
 18a  16 16 10 10 15 11 12 14 13 16   17 11 11 12 16 13 15 14 14 17   13  9  8 12 19 19 12  8 10 19   11 11 17 16 10  6 19 19 11 12   
 18b  21 23 14 20 14 14 15 15 23 18   13 11 19 18 24 19 28 20 21 18   19 18 17 19 15 21 26 21 15 16   19 16 21 15 19 20 16 16 16 16   
 19a  16 16 10 17 19 13  9 15 13 15   13 18  9 12 17 17 14 12 12 20   17 18 12 16 12 12 10 13  7 14   12 14 12 23 13 18 18 19 18 10   
 19b  15 19 13 14 11 15 18 15 12 11   14 16 15 25 15 20 16 19 12 18   17 17 19 22 20 17 16 15 27 20   20 17 18 17 17 18 16 16 16 16   
 20a  16 16 13 12 14 15 17 16 16 13   17 14 16 15 10  9 11 14 13 15   16  9 11 12 18 13 10 10 18 12   14  7 14 18 11  9 16 19 15 17   
