###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a   0  0 15 13  7  9  8  7  9  8    8 11  8  6  6  9  9  7  8  7    8  8  6  0  0  0  0  0  0  0    0  7  8  8  7  0  0  0  0  0   
  1b   0  0  0 12  7  9  8  0  0  0    0  0  0  0  0  8 10  7 10  8    8  7  8 10 11  9  8  9  8  8   10  8  7  7  9 10  0  0  0  0   
  2a   0  0 10  7 11  8  8  9  8  9    7  7  9  8  7  7  8  8  7  7    9  8  9  7  7  8  7  8  7 11    8  7  8  9 10 11  9 13 10 11   
  2b  10 13 11  9  8 10 11  6  8  8    7  9 10  9  8  7  7  9 11  7    9  7  8  6 10  8  8  8  9  9    9  9  9 12  7  9  0  0  0  0   
  3a   0  0  9  6 10  6  8  9  8 10   10  8  9 10 10  7  9 10  8  6    9  9  6  8  8  6  8  9  7  7    7 11  6 10  7 10  9  6 10  8   
  3b  10 11  9  7  7  7  9  9  8  6    8 10  7  6  8  9  7  7 11 10    8  8 10 12  7  9 10  7  9 10    8  8  9 10  8  9  0  0  0  0   
  4a   0  0  6  5 10  7  7 10  6  9    7 10  9  7  9  9  7  9  8  6    7  7  8  7  9  9  9  7  8  9    8  8  8  9  9  8 10 10 10  8   
  4b   9  9  9  8 10  6  8  8  6  7    8  8  8  7  8  9  7  9 10 10    7 10  8  8  7 11  9 12  9  9    8  8  9  9  9  9  0  0  0  0   
  5a   0  0  8  9  8  7  9  8  9  8    8  8  7  7  9  7  8  7  7 11    8  7  7  7 10  9  6  8  8  9    6  8  8  8  9  9  9 10 10  7   
  5b   9 10 11 10  9  7 10  9  8  7    8  7  9  9 10  8  9  8  7  9    8  9  9  9 10  9  8  7 10  9    8  9  9  9  8  8  0  0  0  0   
  6a   0  0  7  7  9  8  6 11  6  8    8  9  7  6  8  9 10 10  7  8    8  9  6  8  8  9  7  9  7  9    9  8  6  7  9  7  7  8 11  9   
  6b   8  7 10  8  9  9  8 10  7  8    8  7  9  9  7  7  9  7  8  9   10  8  8  8  8  7  9  9 11 10    8  9  9  8  9  8  0  0  0  0   
  7a   0  0  9  9  8  7  8 10  7  7    8  8  8  6  7  7  8  8  9  9    7  8  8  7  9  9 10  6  8  9    8  9  8  8  7  8  8 11 10  9   
  7b  12  9 11 10  9  7  6  9  8  8    7  7 11  8  9  7  7  9  9  8    8  9  7  8  8  8  7  8  8  8    9 10  9  9  8  6  0  0  0  0   
  8a   0  0  9  8  8  9  9  7  8 10    8 10  6  6  9  7 10  9  8  8   10  8  8  8  8  8  6  7  9  8    6  9  7 10  7  7  7  7 10  8   
  8b  13  8  9  9  7  9 10  8  7  9   10  8 10 10  9  6 11  7  9 10    8  8  9 10  8 10  8 10 10 10    8  6  8  7  9  8  0  0  0  0   
  9a   0  0  7  7  9  9  7  7  6  7   10 12  6  8  8  8  8  7  7  6    8  8  9  9 10  8  7  7  9 11    8  8  9  9  9  7 10  8  6  7   
  9b   9  7 10  7  9  9  9  7  9 11   10  7 12  8  9  7  8  9  9  8    7  8  8  8  9  8  8  9  8 12    7  7 10 10  8  8  0  0  0  0   
 10a   0  0  7  9  9  8  9  7  8  8   10  8  6  7  8  7  8  8  8  7    8  9  7  7  8  8  7 10  8  8    9  9  8 10  8 14  7 11  8  9   
 10b   9 10 10  8  8  9  8  8  9 11    8  9 10  7  8  9  7  8  8  9    6  8  7  8  9  7  7  7  9 10    8  9  9  8  8  7  0  0  0  0   
 11a   0  0 13  7  9  9 10  7  9  8    6  8 10  8 12  9  7  9  8  9    8  8  8  7  8  7  8  7  9 10    8  6  7  9  6  7 10  8 10  9   
 11b   8  9 10 11  8  9  5 10  9  7    8  7  8 10  9  7 10  8  8 10   10  7  9  7  8 10  7  8 10  8    9  9  8  7  9  9  0  0  0  0   
 12a   0  0  7  8  9  7  7  8  7 10    8  9  9  8  9  7  9  6  8  8    9  9 12  9  7  9  8  6  8  9    7  7  7  7  9  8  9  8  8  9   
 12b   9  9 10  9  8  9  9  7 10  7    7  9  9  8  8  7  8  8  7  9    8  9  8 10  7  9 11 10  8  8    7  9  9  8  9  9  0  0  0  0   
 13a   0  0  8  8  6  8  8  8  9  8    9  9  8 12  8  8  9  9  9  9    7 10  7  7 11  8  7  8  7  8    9  9  9  9  8  7  7 10  8 13   
 13b  10 10  8  9  8  6  9  7  7  7    8  7  9  9 11  7  9  9  6 10   10  8  7  8  7  7  7  9  7  6    8  8  8  8  8  9  0  0  0  0   
 14a   0  0  7  6  7  7  8  9  9  9   10  9  6  7  8  7  8  8  8  9    8  9  9  8  9  7  7  9  7  7   10  7  9  9  8  7  8 10  7  8   
 14b   9  8  7 11 10  9  9  7 11  8    9  9 10 10  8 11  8  9  7  8    7 10  9  9 11  8  9  9  7  7    8  9 10  8  9  9  0  0  0  0   
 15a   0  0  8  7  8  7 10  9  7  8    9  9  5  7  8  8  7 10  9  8   11 10  8  8  9 10  7 10 10  7    7  8  9  8  8  7  9 12  8  8   
 15b   8  7  7  9  7  8  6  8  7  8    7  9  8  7 10  7  8  7  9  7    8  8  9  8 10  8  9  9  8  9    7 10  7 11  8  9  0  0  0  0   
 16a   0  0  8  6  8  8  9  8  8  7    8  7  8  8  8  7  9  8  8  9   10  7  8  7  7  9  6  7  9 11    7  9  7  8  7  8  9  9  8 10   
 16b   9  9  9 10  8 11  8  8 10  7    6  7  8  9  9  8  8  8  9  9    9  8  9  6 10 11  9 10  9  8    9  7  7  9  8  8  0  0  0  0   
 17a   0  0  8  7  6  6 10  9  8  8    9  6  6  7  7  6 11  8  9  9   10  8  8  9  8  7  8  7  7  8    7  7  9  8  8  8  7  9  8  7   
 17b   7  9 10  9  7  8  8  8 10  6    8  9  7  7 10  9  9  7  7  7    8  8  9  8  8  8  8  9  7  8    8  8  8  9 10 10  0  0  0  0   
 18a   0  0  9  8  8  9 10  8  8 11    7  9  8  7  9  8  9  8  8  7   11  8  7  7  8  8  7  7  6  9    6  7  8  9 11  6  8 11  9  8   
 18b   8  9  8  7  9  6  9  7  8 10    9  7  9  9 11  8  7  7  9  9    7  7  8  9  8  8 10 10  7 10   11  7  9  8  9  9  0  0  0  0   
 19a   0  0  8 10  9  9  9  8  8 10    7  8  8  9  7  6  8  7  8  9    9  8  6  8  7  9  9  6  8  8    9 10  8  9  9  7  7  9  8  9   
 19b   7  8  9  8  8  9  7  7  6  9    9  7  7 10 10 10 10  9  9  8   12  8  7  8  8  7 10  9 11  7    9  7 11 11  8  7  0  0  0  0   
 20a   0  0  9  7  9  8  9  7  9  7    9  8  7  8  8  9  8  7  8 10    6  7  6  7 11  9  6  6  9  8    9  9  8 10  9  7  9  8  8  9   
 20b  10 10  8  9  8  6  9  8  8  8    9  6 10  8  8  8  9 10  7  9    8  9  8 10  9  8 10  9  8  7    8  8  9  8 11  9  0  0  0  0   
 21a   0  0  6  7  9  8  8  8  9  6    8  7  6  7  8  8  8 10  7  9    9  7  8  7  8 11  9  8 11  8    8  9  9  8  7  8  8  9 10  6   
 21b   8 10 10  8  6  9  8 10 11  9    9  7 11  8 11  7  9  8  9  8    7  7  8  8  7  8  8  9  8  8    8  8  9  8 11  9  0  0  0  0   
 22a   0  0  9  6  7 10  8 10  8  8   11  8  7  7  7  9  6  8  8  7    8  7  5 10  9  9  7  7  8  9    6  7  8  9  6  8  8  8  9  8   
 22b  10  9  9  9  8  8  8  9  8  9    8  7  8  8  9  7  7  7  7 10    7  9  8  6  8 11  9  8  8  8    8  7  8 10 10  7  0  0  0  0   
 23a   0  0  7  7  8  8  8  6  9  9   10  8  8  7  8  7  8  6  8  8    7  9  7  8  7  8 10  7  7  8    9  9  9  8  9  7  9  8 10  9   
 23b   9  7 10  6  6  7  7 11  8  8    9  8  8  9  8  9  9  9 11  8   12  8 10 10  9 15 11  9  8  7   10 10 10  8  5  7  0  0  0  0   
 24a   0  0  7  6  8  9  7  8  8  8    9  8  7  6  7  8  7  7  7  7    8  8  6  8  8  8  9 10  8  8    8  9  8 11  7  8  9 10 11  8   
 24b   9  7  9  8  7  7  9  8  7  8    9  6  8 10  8  7  9  8 10  9    9  8  8  9  9 10  7  8  9  8    8  9  8  6  9  7  0  0  0  0   
 25a   0  0  7  7  8 10  9  8  9  9    6  8  6  7  8  8  8  8 10 10    9  8 10  7  8  9  7  8  9  9    7  7  9  7  8  9 10 12  9  8   
 25b   9 12  8  9  7  5  8  8  9 10   11  9 10  8  8  8  8  9  8  8    7  8  7  8  8  9  9 11  9  7    7  9  8  8  8  9  0  0  0  0   
 26a   0  0  7  9 10 11  7 13 12  9    9  8  8  8  8  8  9  7  8 12   10  9  7  8  8  7  7  6  9 10    7 14 10  9  8  9  9  9  9 10   
 26b   8  9  7 10  9  8  8  9  8  6    7  8  8  7 11  9  8  9 10 10    9  7  9  9  7  9  8 10  9  9   10  9  9  9  9  9  0  0  0  0   
 27a   0  0  9  8  7  8  8  9  7 10    7  9  8  8  9  8  8  7  9  8    9 10  7  7  9  9  7  7  9  9    7  9  8  8  9  8  8  9  9 11   
 27b   8 15 10  9  7  8  8  9  7  8    8  9  7  9  9  8 12 10  9 10    7  9  9  8  8  6  9 11  8 11   11 11  8  9  7  8  0  0  0  0   
 28a   0  0  8  8  8  7  9  8  9  8    8  8  8 10  9 11  6  9  8  7    9  7  8  7  8 10  9  8  7 11    7  9  7 12  8  8  7  8  9  7   
 28b  10  8  9 10  9  7 11  9  8  8    9  8  7  9  8  7 10  8  8  7   11  8  9  6 10 10  8  9  8  8    8  9  8  7  8  7  0  0  0  0   
 29a   0  0  9  8  9  8 10  8  8  9    7  8  8  6  7  7  8  8  8  8    9  9  9 10 10  8  8  8  9 10    9  7 10  7 10  8 10  9  8  9   
 29b  11  9 12  9  7  9  6  6 10  8    7  9 10  8  8  8 12  9  8  9    9  7  8  8 10  8  7 10 10  9    8 10 10 10  6  9  0  0  0  0   
 30a   0  0  8 10  9 10  7 12  8  9    8  7  9  7  8  9  7  7  7  8    9 11  9  8  8 10  6  8  8  9    8  8  8 10  8  9  9  8  9  8   
 30b  10  8  8 10  6  9  7  8  9  8    7  9  8 10  9  8  7  8  9  7   11  8  9  9  7  9  8  9  9  9    6 11  8  7  8 10  0  0  0  0   
 31a   0  0  7  8  9  8  7 10  9  8   11  7  6  8  8  7 10  9  8 10    8  7  8  8  8  8  8  6  9 10   10  8 10  9  8  8 10  8  9  7   
 31b   8 12  9  9  7  7  9 13  7  7    9  6 10  9  8  8  9  8  9  9    8  6  9  9 10  8  7  9 10 14    7  8 11  7 10  8  0  0  0  0   
 32a   0  0  8  7  8  9  8  8  6  8    8  8  7  5  7 10  8  9  9  9    9 10  8  9  8 10  6  8 10  8    6  9 10 11  8  8  7  9  8 10   
