###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a  16 16 18 20 13 19 22 24 17 18   23 17 20 13 13 17 14 16  8 17   17 16 21 16 16 16 16 16 16 16   16 15 10 22 13 16 16 16 16 16   
  1b  16 16 16 18 17 17 24 16 16 16   16 16 16 16 16 12 17 13 17 17   21 18 19 10 18 17 16 24 22 24   20 25 16 15 22 20 16 16 16 16   
  2a  16 16 14 17 16 19 13 18 19 25   16 18 19 16 16 13  9 12 16 19   13 16 13 21 17 12 10 20 17 21    9 18 16 17 13 13 16 15 20 22   
  2b  18 17 17 13 16 27  9 13 15 12   17 23 12 21 18 20 20 23 22 18   11 21 17 22 16 22 21 17 21 20   24 22 18 13 17 17 16 16 16 16   
  3a  16 16 16 24 18 20 16 15 23 18   15 15 15 22 15 16 20 22 19 18   16 14 15 10 18 20 19 20 16 14   16 17 12 20 18 16 13 13 13 19   
  3b  15 17 15 14 16 21 18 20 16 22   14 20 22 20 20 14 18 19 24 22   25 17 22 20 16 22 19 16 21 12   20 18 16 20 19 18 16 16 16 16   
  4a  16 16 21 23 13 18 16 18 17 19   17 12 17 14 12 14 11 15 14 20   13 18 12 14 17 13 16 12 18 14   15 17 15 12 14 14 20 17 19 20   
  4b  14 19 17 16 11 16 16 18 17 15   16 22 17 17 13 14 19 17 22 20   29 18 20 18 19 23 20 23 20 16   15 19 17 20 20 12 16 16 16 16   
  5a  16 16 23 19 21 21 12 22 19 12   16 22 17 18 17  9 17 18 18 17   18 18 17 14 13 20 24 21 10 12   14 16 10 16 21 18 15 13 22 20   
  5b  15 14 13 20 15 23 17 16 20 21   22 19 15 22 13 21 19 20 20 24   13 23 17 22 17 23 21 19 17 15   24 19 17 16 14 12 16 16 16 16   
  6a  16 16 24 18 20 13 13 17 11 12   14 10 14 14 13 18 15 16 12 19   16 19 18 22 16 18 12 14 13 17   12 11 17 13 13 18 15 21 16 21   
  6b  16 14 12 22 21 18 18 17 18 17   14 17 20 13 18 13 21 14 15 20   24 22 20 18 18 19 18 19 15 17   20 22 15 20 17 18 16 16 16 16   
  7a  16 16 25 20 15 18 17 19 15 16   24 16 21 20 15 12 17 18 13 11   19 13 15 14 16 17 20 15 11 11   11 12 16 13 19 19 19 18 14 18   
  7b  18 16 19 20 13 14 15 16 20 15   21 19 18 22 18 21 22 16 16 18   15 23 19 18 21 17 19 23 17 19   20 23 19 14 13 18 16 16 16 16   
  8a  16 16 16 12 22 18 16 17 20 17   15 16 19 17 17 17 17 17 14 18   11 21 23 19 14 15 15 13 18 16   15 14 19 20 12 15 17 18 16 17   
  8b  13 16 16 13 20 18 14 14 22 12   19 17 15 18 15 18 16 22 23 18   24 20 21 15 20 17 22 21 20 17   19 19 20 18 25 21 16 16 16 16   
  9a  16 16 17 20 21 15 21 11 18 17   13 19 17 15 16 20 16 19 16 14   19 20 18 16 16 16 19 12 11 14   12 15 20 16 15 24 14 17 15 13   
  9b  18 12 14 20 22 18 21 20 22 21   18 15 17 16 21 21 22 19 23 20   21 22 16 16 25 17 17 19 15 15   20 18 17 16 18 22 16 16 16 16   
 10a  16 16 21 12 19 17 20 16  9 20   17 17 21 15 21 17 15 18 15 15   20 14 17 21 12 13 17 19 14 16   11 15 15 18 20 17 17 17 15 19   
 10b  18 22 16 19 10 16 16 13 16 24   19 19 14 14 18 23 18 20 14 21   19 17 18 18 20 17 18 21 21 21   17 16 20 17 21 19 16 16 16 16   
 11a  16 16 21 16 19 17 17 22 19 20   18 16 17 16 19 16 12 14 18 15   12 11 14 18  7 16 17  9  5 19   17 20 10 16 16 14 19 14 17 18   
 11b  20 16 15 17 16 18 26 21 17 23   16 19 23 18 23 15 20 16 18 21   14 18 20 15 19 19 14 19 18 17   20 21 20 20 22 14 16 16 16 16   
 12a  16 16 18 29 19 16 13 13 15 16   17 14 17 20 14 19 19 21 16 15   11 14 17 18 15 20 17 15 16 15   11 21 18 17 13 21 11 18 15 15   
 12b  19 16 11 17 18 18 21 12 19 20   16 23 21 18 19 23 18 15 14 23   19 23 18 19 15 16 17 16 22 15   22 17 12 24 19 16 16 16 16 16   
