###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a  16 30 25 31 15 18 21 21 17 19   22 15 18 21 19 18 20 24 21 14   20 18 18 16 16 16 16 16 16 16   16 15 17 16 21 16 16 16 16 16   
  1b  16 16 16 20 15 21 24 16 16 16   16 16 16 16 16 26 24 24 22 23   26 21 25 21 27 22 21 20 23 25   24 27 25 23 28 20 28 16  8 24   
  2a  16 17 19 24 23 16 15 20 20 21   19 17 18 23 15 24 13 19 18 18   19 15 22 15 21 17 18 18 20 17   18 12 20 17 24 21 18 17 22 18   
  2b  19 23 22 20 22 23 23 20 22 22   28 26 25 20 19 23 20 23 26 15   17 20 21 19 21 23 23 23 23 18   28 18 21 21 19 25 28 16  8 16   
  3a  16 26 18 25 24 19 20 21 22 16   14 21 21 19 16 19 20 15 15 22   17 21 22 15 15 18 19 16 17 14   19 16 19 22 21 16 17 20 18 21   
  3b  21 19 24 22 22 21 21 27 20 19   23 25 23 25 26 25 25 19 31 22   18 23 18 20 23 20 19 26 22 25   26 22 26 26 24 20 20 16 16  3   
  4a  16 18 25 20 21 20 23 15 19 18   21 15 20 17 18 18 26 22 17 13   17 22 18 25 19 18 10 11 17 17   11 19 17 20 20 21 17 19 16 14   
  4b  19 17 25 21 22 23 20 21 19 21   18 19 22 22 25 22 19 21 29 20   23 22 20 24 24 20 26 23 29 23   18 26 24 26 29 22 24 16  8 16   
  5a  16 21 17 21 18 20 15 18 17 23   19 14 19 20 17 18 16 15 16 16   15 17 15 20 17 15 12 17 15 17   16 17 15 20 20 21 21 18 16 19   
  5b  21 16 17 24 23 22 28 27 21 25   23 22 20 16 23 26 21 26 23 24   23 23 21 26 21 26 19 22 20 24   26 23 22 27 19 22 27  8  8 16   
  6a  16 21 18 22 24 23 18 21 11 22   18 15 19 17 17 20 14 19 19 17   22 19 19 16 15 12 19 21 17 20   17 18 18 21 16 18 14 19 16 21   
  6b  22 20 20 18 16 24 16 31 21 19   23 24 22 22 21 22 20 25 29 21   23 23 25 25 20 31 19 26 18 24   23 24 23 23 19 23 20 16 16 16   
  7a  16 21 17 16 23 24 23 21 18 19   18 19 16 21 15 18 19 21 17 20   19 21 19 16 14 18 17 20 14 17   19 17 15 14 20 16 20 15 24 17   
  7b  24 20 21 17 23 25 20 24 26 23   29 17 27 20 22 24 19 22 27 24   26 21 21 19 20 24 27 18 24 26   20 27 25 24 29 20 24 16  8 16   
  8a  16 19 21 18 20 20 21 19 16 15   16 17 20 16 16 18 23 21 16 15   14 18 18 16 13 15 18 15 15 16   19 13 19 22 19 18 21 20 18 26   
  8b  19 17 22 23 22 24 22 24 22 20   26 21 19 26 24 24 18 26 23 22   16 23 25 24 16 20 28 19 25 23   24 20 21 25 23 26 21  4  8  8   
  9a  16 23 26 22 16 18 18 26 23 25   16 15 25 21 16 23 16 18 16 14   20 20 18 17 17 21 15 17 17 18   14 19 15 20 20 16 18 23 16 20   
  9b  22 20 18 26 26 22 24 19 22 20   24 23 15 18 28 19 24 21 22 24   25 24 21 24 30 20 25 24 25 17   25 24 24 25 22 19 22 16 16  2   
 10a  16 21 15 23 19 15 22 19 19 18   17 19 20 19 15 19 19 19 20 16   17 14 14 19 23 15 17 17 20 18   18 17 18 12 23 21 19 21 24 25   
 10b  26 22 19 24 24 21 24 30 27 23   19 24 22 27 22 24 22 24 18 18   22 22 21 21 23 22 26 24 27 22   24 22 20 21 21 20 23 16  8  8   
 11a  16 22 22 18 22 21 21 14 21 17   21 18 16 18 15 15 20 20 19 15   19 20 16 24 17 18 16 18 18 18   11 17 20 22 18 16 16 18 23 20   
 11b  21 30 25 24 25 20 29 24 25 20   25 26 22 20 24 19 19 24 23 27   27 23 26 23 23 24 24 22 23 20   26 23 20 29 30 26 24 16  8  8   
 12a   3 16 23 19 20 16 18 19 22 19   14 18 19 23 16 16 23 18 18 15   22 15 17 20 13 16 18 16 19 19   20 21 18 19 21 19 16 20 23 26   
 12b  22 23 28 21 21 25 25 26 23 16   30 27 20 31 24 18 21 25 22 21   23 21 22 24 24 24 27 25 21 26   20 22 24 21 29 21 19 16 16  2   
 13a  16 19 21 21 19 23 14 16 17 19   19 19 19 17 19 16 14 19 19 16   22 17 20 21 14 17 23 19 12 20   21 20 20 15 20 23 15 17 19 22   
 13b  18 23 27 15 24 23 14 27 24 19   23 22 24 21 26 22 20 28 28 23   24 23 16 21 26 24 21 24 28 24   17 20 25 20 17 22 22 16  8  8   
 14a  16 26 17 20 23 23 23 18 19 23   23 22 23 16 20 25 22 22 19 19   18 19 24 17 18 20 21 14 20 17   14 14 20 21 18 19 17 18 20 17   
 14b  18 20 23 27 24 22 24 21 21 21   26 25 24 19 26 22 26 27 25 21   17 23 23 17 28 23 25 20 25 23   20 23 27 21 24 26 19 16  8 16   
 15a  16 16 21 18 21 22 18 19 20 15   21 24 18 21 17 17 20 19 17 17   20 17 18 10 14 20 16 17 20 17   16 22 20 19 19 19 15 16 21 19   
 15b  22 20 25 23 22 23 23 20 20 24   22 23 16 22 19 19 24 28 18 23   22 27 24 20 29 25 24 27 30 24   21 23 23 22 26 25 17 16 16 16   
 16a  16 19 21 19 19 19 21 20 18 18   22 19 18 20 21 21 20 15 20 17   18 20 20 18 20 18 17 17 18 17   19 19 14 19 21 21 15 19 19 21   
 16b  20 24 19 17 15 19 24 25 22 24   26 27 24 19 23 28 23 29 24 24   19 21 25 22 27 21 25 22 25 23   23 19 17 20 27 21 23 16  8 16   
 17a  16 21 17 17 18 15 20 19 23 16   15 24 24 19 21 19 17 16 17 18   20 17 20 13 18 15 18 15 15 22   14 20 17 19 18 24 22 27 24 16   
 17b  25 22 22 21 25 31 22 19 24 25   23 20 20 22 22 21 24 28 24 24   20 29 26 18 20 19 21 22 28 21   22 19 15 20 27 12 22 16  8  8   
 18a  16 19 16 23 22 23 13 18 19 14   17 23 21 18 16 15 21 20 21 16   22 16 15 13 23 15 24 16 20 16   14 18 21 22 13 17 25 28 21 19   
 18b  22 22 22 22 20 23 18 20 16 24   27 27 26 25 22 23 26 22 23 26   28 27 25 21 17 20 18 21 25 25   25 25 16 21 23 24 24 16 16 16   
 19a  16 21 19 20 21 19 20 24 14 19   22 23 20 24 17 25 20 17 22 26   16 17 15 17 18 16 25 19 17 13   12 22 16 22 21 18 17 19 23 20   
 19b  24 18 25 19 20 21 21 18 24 25   30 23 17 21 23 21 23 23 22 29   23 23 20 20 24 24 22 20 20 25   28 23 19 26 19 25 20 16  8  8   
 20a  16 15 20 19 20 16 20 21 21 21   21 19 18 16 21 20 15 18 15 25   20 11 19 18 16 20 17 15 15 17   20 22 17 16 20 20 19 21 25 19   
 20b  21 26 27 20 12 15 21 19 27 23   22 24 25 23 26 21 16 20 29 22   23 21 26 27 23 15 26 24 15 21   21 24 21 25 25 20 24 16  8  8   
 21a   6 17 20 22 18 16 21 17 13 23   24 20 22 15 15 21 20 21 22 21   19 16 19 18 16 16 18 20 14 16   16 17 21 16 16 14 21 20 17 20   
 21b  25 22 14 27 24 22 24 21 23 22   16 21 26 19 20 21 25 20 22 19   27 25 25 23 20 25 20 20 22 31   21 19 21 25 24 23 24 16 16  8   
 22a   4 17 23 17 19 22 28 16 14 17   20 18 25 18 19 13 20 21 12 19   16 18 15 12 16 20 13 16 14 13   19 19 22 21 14 20 21 22 20 21   
 22b  21 20 23 15 23 26 19 26 21 29   24 31 21 26 23 22 27 26 23 23   23 30 28 19 22 20 24 26 23 24   19 23 27 22 24 23 17 16  8  8   
 23a  16 14 21 23 29 21 19 20 20 23   19 17 23 14 18 19 16 21 17 22   16 18 18 16 20 20  8 19 15 14   17 21 18 15 19 23 25 19 20 19   
 23b  18 20 24 22 21 21 23 28 27 19   25 23 23 20 19 22 23 21 19 24   23 20 28 31 22 19 22 21 23 27   20 26 17 22 26 25 22 16  8 16   
 24a  16 19 19 16 12 23 18 14 21 18   17 19 24 18 27 14 19 20 20 18   18 22 20 17 13 17 15 14 19 19   21 21 18 16 17 26 18 20 15 22   
 24b  16 22 21 22 28 23 31 26 21 28   26 21 20 21 19 26 24 25 22 26   19 23 24 23 24 15 23 21 30 22   25 21 25 23 23 23 21 16 16  8   
